Log #,Complaint #,Date,Address #,Street Name,Borough,Postcode,District,Work Reported,Closed,Issued Violation?,Additional Comments,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
18868,19-10-18-036,10/18/2018,227,Greene Avenue,Bn,11238,CLIN,Façade alterations,false,false,,40.687068,-73.962817,02,35,197,3055728,3019510035,Clinton Hill
18869,19-10-018-037,10/18/2018,940,Grand Concourse,Bx,10451,GC,Illegal signage on the corner,false,false,,40.828783,-73.921617,04,8,18301,2002814,2024610045,East Concourse-Concourse Village
18864,19-10-18-032,10/17/2018,235,Bleecker Street,Mn,10014,GV,Installation of signage,true,true,,40.730474,-74.002547,02,3,67,1010085,1005890048,West Village
18865,19-10-18-033,10/17/2018,120,Warwick Avenue,Qn,11363,DOUG,Construction of addition in noncompliance,false,false,,40.778515,-73.75189,11,19,1483,4168104,4080260025,Douglas Manor-Douglaston-Little Neck
18866,19-10-18-034,10/17/2018,204,6th Avenue,Bn,11217,PSE2,Installed HVAC unit,false,false,,40.675536,-73.977904,06,39,131,3019807,3009530051,Park Slope-Gowanus
18858,19-10-16-026,10/16/2018,250,South Street,Mn,10002,NOT DESIGNATED,Electricians work,true,false,,40.709984,-73.99068,03,1,6,1000000,1002487501,Lower East Side
18859,19-10-16-027,10/16/2018,401,West 147th Street,Mn,10031,HHSU,Possible FTM,false,false,,40.825451,-73.944074,09,9,231,1061450,1020620031,Hamilton Heights
18863,19-10-17-031,10/16/2018,16,Bank Street,Mn,10014,GV,Painting building lavendar,false,false,,40.737026,-74.002371,02,3,77,1010962,1006140024,West Village
18867,19-10-18-035,10/16/2018,5,West 16th Street,Mn,10011,IL,Alterations to storefront,false,false,,40.73758,-73.993223,05,3,54,1015391,1008180037,Hudson Yards-Chelsea-Flatiron-Union Square
18854,19-10-15-022,10/15/2018,134,Dean Street,Bn,11201,BOEX,Installation of HVAC units,false,false,,40.686624,-73.988191,02,33,43,3001269,3001940036,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
18857,19-10-16-025,10/15/2018,7902,15tth Avenue,Bn,,NOT DESIGNATED,Illegal subdivision of house,true,false,,,,,,,,,
18861,19-10-16-029,10/15/2018,23,West 9th Street,Mn,10011,GV,Installation of desk at rear,true,false,,40.733255,-73.996864,02,3,63,1077927,1005730054,West Village
18856,19-10-15-024,10/14/2018,1100,Park Place,Bn,11213,CHN3,"stoop removed and added a balcony, cornice and lintels painted",false,false,,40.672926,-73.941213,08,36,343,3031695,3012440014,Crown Heights North
18860,19-10-16-028,10/14/2018,137,East 35th Street,Mn,10016,MURH,Possible FTM,false,false,,40.747172,-73.979458,06,4,80,1018901,1008910022,Murray Hill-Kips Bay
18855,19-10-15-023,10/12/2018,666,West End Avenue,Mn,10025,RWE,Replaced doors and a window at the ground floor,false,false,,40.792989,-73.97485,07,6,179,1033609,1012400001,Upper West Side
18862,19-10-16-030,10/12/2018,302,West 12th Street,Mn,10014,GV,Installation of window signage,false,false,,40.737539,-74.004561,02,3,77,1067716,1006247503,West Village
18850,19-10-11-017,10/11/2018,89,7th Avenue South,Mn,10014,GV,Installing awning and sign,false,false,,40.732722,-74.003276,02,3,73,1010189,1005910033,West Village
18851,19-10-11-018,10/11/2018,74,7th Avenue South,Mn,10014,GV,Painting building white and turquoise,false,false,,40.732064,-74.00368,02,3,67,1009969,1005870056,West Village
18853,19-10-11-021,10/11/2018,78,West 12th Street,Mn,10011,GV,Installed no smoking signage,false,false,,40.735626,-73.996861,02,3,63,1009566,1005750016,West Village
18846,19-10-10-013,10/10/2018,33-24,156th Street,Qn,11354,NOT DESIGNATED,Constructed garage,true,false,,40.767987,-73.808612,07,19,1151,4118452,4052400048,Murray Hill
18847,19-10-10-014,10/10/2018,47,Walker Street,Mn,10013,TRIE,Painting columns colors,false,false,,40.71907,-74.003525,01,1,33,1075737,1001937504,SoHo-TriBeCa-Civic Center-Little Italy
18848,19-10-10-015,10/10/2018,427,East 90th Street,Mn,10128,NOT DESIGNATED,Constructing an 8 story building,true,false,,40.779124,-73.946745,08,5,152,1050732,1015700017,Yorkville
18849,19-10-11-016,10/10/2018,712,Fifth Avenue,Mn,10019,IL,Constructing a patio at the roof,false,false,,40.762495,-73.975193,05,4,104,1077363,1012710038,Midtown-Midtown South
18852,19-10-11-020,10/10/2018,1157,Park Place,Bn,11213,CHN3,Installation of black structure on the sidewalk,false,false,,40.672846,-73.939306,08,36,343,3031362,3012370056,Crown Heights North
18843,19-10-09-010,10/09/2018,1138,Sterling Place,Bn,11213,CHN3,Painting mural,false,false,,40.672026,-73.941146,08,35,339,3032058,3012510013,Crown Heights North
18844,19-10-09-011,10/07/2018,1178,Broadway,Mn,10001,MSN,Installation of sotrefront in noncompliance.,false,false,,40.745309,-73.98852,05,4,76,1015727,1008300028,Midtown-Midtown South
